Organism	Model_ID	CheckSBML	Primary_Format	source_SBML	Other_Formats	Genes	Rxns	Mets	Publication_date	Available_file	version_control	Import/Export	Objective	biomassRxn	growth	Comparison_date	Elapsed_time	citations_google	Annual_average	MEMOTE	SBML_version	unbounded_flux	met_annotation	rxn_annotation	genes_annotation	rxns_without_GPR	rxns_without_GPR_percent	blocked_rxns	blocked_rxns_percent	dead_end_mets	dead_end_mets_percent	annotation_met_score	annotation_rxn_score	annotation_gene_score	annotation_SBO_score	MEMOTE_score	link_model	link_publication	Other DBs	external	public_DB
S. cerevisiae	iAZ900	failed	SBML	YES	SBML	901	1597	1234	12/29/10	YES	NO	YES	NO	YES	YES	12/8/19	8.947945205	92	10.28169014	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3023687/bin/1752-0509-4-178-S3.XML	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3023687/	https://github.com/bheavner/yeast_models/blob/master/iAZ900/iAZ900.xml	others	YES
S. cerevisiae	yeast 5	Warnings	SBML	YES	SBML	918	2110	1655	6/4/12	YES	NO	YES	YES	YES	YES	12/8/19	7.515068493	138	18.36310609	Passed	2.4	NA	NA	NA	NA	1275	0.604265403	NA	#VALUE!	120	0.072507553	25	50	0	32	32	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-6-55/MediaObjects/12918_2012_970_MOESM4_ESM.xml	https://doi.org/10.1186/1752-0509-6-55	https://sourceforge.net/projects/yeast/files/yeast_5.01.zip/download	yeastnet	YES
S. cerevisiae	yeast 6	Warnings	SBML	YES	NA	900	1888	1458	7/12/13	YES	NO	YES	YES	YES	YES	12/8/19	6.410958904	83	12.9465812	Passed	2.4	NA	kegg/chebi	kegg		1076	0.569915254	NA	#VALUE!	105	0.072016461	57	53	0	43	40	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/database/2013/10.1093_database_bat059/3/bat059_Supplementary_Data.zip?Expires=1553709322&Signature=YelePfx0c-IIb416g1Mvl7IqZRtDiz~QdUDFrhVU7Hfcl5n0s95IszSP4H5kKFcmWL2GvgxNFCHmNnFI3dLeWmC6WAJ5GNywBZderi8wQ2eBmYUsgNzHN6N9MWHxgt0ZtOBT~zNWK920po-6-4U9DnWoGifnYU6bKKGc1VBC4XgEl3ZlGKZtTP5jbMCALlh4swLnZMvYaInqiXEreoxwTTNXayQqzTadLZwp6B6~q0WgFj6NOdR9aKNf1zCNa9P84LFLKxQk4apQcHmLBJZ6SOKf9J2wL4SErYTEv8ZQFKawkpt31UetJAn006OvLatehf7Wiq4PCBjPEW5uSZTSNg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3739857/pdf/bat059.pdf	https://sourceforge.net/projects/yeast/files/yeast_6.06.zip/download	yeastnet	YES
S. cerevisiae	yeast 7	YES	SBML	YES	NA	909	3493	2220	8/12/13	YES	NO	YES	YES	YES	YES	12/8/19	6.326027397	113	17.86271113	Passed	2.4	NA	kegg/chebi	kegg	NA	1792	0.513026052	NA	#VALUE!	121	0.054504505	57	53	0	44	41	https://sourceforge.net/projects/yeast/files/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3963290/	https://sourceforge.net/projects/yeast/files/yeast_7.6.zip/download	yeastnet	YES
S. cerevisiae	iSce926	Warnings	SBML	YES	NA	926	3494	2223	7/28/15	YES	NO	YES	YES	YES	YES	12/8/19	4.367123288	22	5.037641154	Passed	2.1	0.404	NA	NA	NA	1622	0.464224385	724	0.207212364	123	0.055330634	25	25	0	0	22	https://www.mdpi.com/2218-1989/5/4/536/s1	https://doi.org/10.3390/metabo5040536	NA	None	NO
S. cerevisiae	iSc-AMRS-1	NA	XLS	NO	NA	NA	NA	NA	9/29/16	YES	NO	NA	NA	NA	NA	12/8/19	3.191780822	148	46.36909871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://media.nature.com/original/nature-assets/nature/journal/v537/n7622/extref/nature19769-s4.xlsx	https://doi.org/10.1038/nature19769	NA	None	NO
S. cerevisiae	yeast 7.Fe	Warnings	SBML	YES	NA	963	3597	2318	12/22/18	YES	NO	YES	YES	YES	YES	12/8/19	0.961643836	3	3.11965812	Passed	2.4	NA	kegg/chebi	kegg	NA	1879	0.522379761	NA	#VALUE!	138	0.059534081	57	53	0	44	42	https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fbit.26905&file=bit26905-sup-0001-%2318-520_S1.xml	https://www.ncbi.nlm.nih.gov/pubmed/30578666	NA	None	NO
S. cerevisiae	yeast 8	YES	SBML/XLS/MAT/txt	YES	SBML	1139	3963	2691	8/8/19	YES	YES	YES	YES	YES	YES	12/8/19	0.334246575	4	11.96721311	Passed	3.1	0.455	kegg/chebi/metanetx	kegg/metanetx/ec_code	NA	1204	0.303810245	956	0.24123139	145	0.053883315	62	62	0	61	54	https://github.com/SysBioChalmers/yeast-GEM	https://doi.org/10.1038/s41467-019-11581-3	None	None	NO
P. pastoris	iPP668	Warnings	XLS	NO	SBML	668	1178	1361	7/1/10	YES	NO	YES	YES	YES	YES	12/8/19	9.443835616	127	13.44792573	Passed	3.1	0.143	NA	NA	NA	1212	1.028862479	343	0.291171477	125	0.091844232	25	25	0	0	36	https://static-content.springer.com/esm/art%3A10.1186%2F1475-2859-9-50/MediaObjects/12934_2010_440_MOESM1_ESM.XLS	https://doi.org/10.1186/1475-2859-9-50	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iPP668.xml	openCOBRA	YES
P. pastoris	Ppambel1254	Warnings	SBML	YES	SBML	540	1254	1147	7/14/10	YES	NO	YES	NO	NO	NO	12/8/19	9.408219178	110	11.69190448	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	biot_201000078_sm_suppinfo_PpaMBEL1254.zip	https://doi.org/10.1002/biot.201000078	https://github.com/opencobra/m_model_collection/blob/master/sbml3/PpaMBEL1254.xml	openCOBRA	YES
P. pastoris	iLC915	Warnings	SBML	YES	SBML	915	1423	899	4/4/12	YES	NO	YES	YES	YES	YES	12/8/19	7.682191781	113	14.70934379	Passed	3.1	0.249	NA	NA	NA	348	0.24455376	414	0.290934645	108	0.120133482	25	25	0	0	25	http://biomet-toolbox.chalmers.se/models/SBML/iLC915.xml	https://doi.org/10.1186/1752-0509-6-24	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iLC915.xml	openCOBRA	YES
P. pastoris	iMT1026	Warnings	XLS/SBML	YES	SBML	1026	2220	1706	1/26/16	YES	NO	YES	YES	YES	YES	12/8/19	3.868493151	36	9.305949008	Passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://doi.org/10.1371/journal.pone.0148031.s002			biomodels	
P. pastoris	Kp1.0	YES	SBML	YES	NA	840	1474	1221	8/15/17	YES	NO	YES	YES	YES	YES	12/8/19	2.315068493	7	3.023668639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no	https://onlinelibrary.wiley.com/doi/full/10.1002/bit.26380	NA	None	NO
P. pastoris	ihGlycopastoris	Warnings	SBML	YES	NA	916	1595	1443	10/19/15	YES	NO	YES	YES	YES	YES	12/8/19	4.139726027	32	7.729980146	Passed	2.1	0.128	NA	NA	NA	1518	0.951724138	413	0.258934169	104	0.072072072	25	25	0	0	19	https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fbit.25863&file=bit25863-sup-0005-SuppData-S5.zip	https://doi.org/10.1002/bit.25863	NA	None	NO
P. pastoris	iMT1026 v3.0	Warnings	SBML	YES	NA	1026	2237	1706	11/21/17	YES	NO	YES	NO	NO	NO	12/8/19	2.046575342	12	5.863453815	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5743807/bin/MBT2-11-224-s003.zip	https://doi.org/10.1111/1751-7915.12871	biomodels	biomodels	YES
Y. lipolytica	iNL895	Warnings	SBML	YES	SBML	899	2002	1587	5/4/12	YES	NO	YES	YES	YES	YES	12/8/19	7.6	74	9.736842105	Passed	2.4	NA	NA	NA	NA	1986	0.992007992	NA	#VALUE!	56	0.035286704	25	50	0	34	30	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-6-35/MediaObjects/12918_2011_920_MOESM7_ESM.zip	https://doi.org/10.1186/1752-0509-6-35	https://www.ebi.ac.uk/biomodels/MODEL1111190000#Files	biomodels	YES
Y. lipolytica	iMK735	Warnings	SBML	YES	SBML	735	1337	1112	10/26/12	YES	NO	YES	NO	YES	NO	12/8/19	7.120547945	62	8.707195075	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2Fs12918-015-0217-4/MediaObjects/12918_2015_217_MOESM3_ESM.xml	https://doi.org/10.1186/s12918-015-0217-4	https://www.ebi.ac.uk/biomodels/model/download/MODEL1510060001.2?filename=MODEL1510060001_url.xml	biomodels	YES
Y. lipolytica	iYL619_PCP	failed	SBML	YES	NA	619	1142	969	12/7/12	YES	NO	YES	YES	YES	NO	12/8/19	7.005479452	60	8.564724286	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://doi.org/10.1371/journal.pone.0051535.s005	https://doi.org/10.1371/journal.pone.0051535	NA	None	NO
Y. lipolytica	iYali4	failed	SBML/XLS/MAT/txt	YES	NA	847	1924	1671	3/3/16	YES	YES	YES	YES	YES	YES	12/8/19	3.767123288	70	18.58181818	Passed	3.1	0.235	inchi/chebi	kegg/ec_code	NA	494	0.256756757	703	0.365384615	139	0.083183722	55	58	33	36	59	https://github.com/SysBioChalmers/Yarrowia_lipolytica_W29-GEM	https://doi.org/10.1038/npjsba.2016.5	https://www.ebi.ac.uk/biomodels/MODEL1508190002#Files	biomodels	YES
Y. lipolytica	iYLI647	failed	SBML	YES	NA	646	1343	1117	3/19/18	YES	NO	YES	YES	YES	YES	12/8/19	1.723287671	11	6.383147854	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2Fs12918-018-0542-5/MediaObjects/12918_2018_542_MOESM2_ESM.xml	https://doi.org/10.1186/s12918-018-0542-5	NA	None	NO
S. stipitis	iBB814	NA	XLS	NO	NA	814	1371	971	2/23/12	YES	NO	NA	NA	NA	NA	12/8/19	7.794520548	55	7.056239016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1475-2859-11-27/MediaObjects/12934_2011_648_MOESM2_ESM.XLS	https://doi.org/10.1186/1475-2859-11-27	NA	None	NO
S. stipitis	iSS884	Warnings	SBML	YES	SBML	884	1332	922	4/4/12	YES	NO	YES	NO	YES	YES	12/8/19	7.682191781	113	14.70934379	Passed	2.1	0.609	NA	NA	NA	1332	1	480	0.36036036	105	0.113882863	25	26	0	9	21	http://biomet-toolbox.chalmers.se/models/SBML/iSS884%20v1.0.xml	https://doi.org/10.1186/1752-0509-6-24	https://raw.githubusercontent.com/opencobra/m_model_collection/master/sbml/iSS884.xml	openCOBRA	YES
S. stipitis	iTL885	Warnings	XLS	NO	SBML	886	1240	870	9/21/12	YES	NO	YES	YES	YES	YES	12/8/19	7.216438356	34	4.711465452	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1754-6834-5-72/MediaObjects/13068_2012_208_MOESM2_ESM.xlsx	https://doi.org/10.1186/1754-6834-5-72	https://www.ebi.ac.uk/biomodels/MODEL1507180026	biomodels	YES
R. toruloides	rhto-GEM	failed	SBML/XLS/MAT/txt	YES	NA	926	4930	3374	9/10/19	YES	YES	YES	YES	YES	YES	12/8/19	0.243835616	1	4.101123596	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://github.com/SysBioChalmers/rhto-GEM/tree/master/ModelFiles/mat	https://onlinelibrary.wiley.com/doi/abs/10.1002/bit.27162	None	None	NO
S. pombe	SpoMBEL1693	YES	SBML	YES	SBML3	605	1693	1546	7/5/12	YES	NO	NO	NO	NO	NO	12/8/19	7.430136986	24	3.230088496	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-6-49/MediaObjects/12918_2011_868_MOESM5_ESM.xml	https://doi.org/10.1186/1752-0509-6-49	https://github.com/opencobra/m_model_collection/blob/master/sbml3/SpoMBEL1693.xml	openCOBRA	YES
C. glabrata	iNX804	NA	XLS	NO	NA	804	1287	1426	11/8/12	YES	NO	NA	NA	NA	NO	12/8/19	7.084931507	37	5.222351121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.rsc.org/suppdata/mb/c2/c2mb25311a/c2mb25311a.xls	https://doi.org/10.1039/C2MB25311A	NA	None	NO
K. lactis	iOD907	Warnings	SBML	YES	NA	893	2338	2180	4/28/14	YES	NO	YES	YES	YES	YES	12/8/19	5.616438356	27	4.807317073	Not passed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.merlin_sysbio.org/files/iOD907.xml	https://doi.org/10.1002/biot.201300242	NA	None	NO
C. tropicalis	iCT646	Warnings	SBML	YES	NA	646	1422	1120	2/23/16	YES	NO	YES	YES	YES	YES	12/8/19	3.791780822	27	7.12066474	Passed	2.1	0.143	NA	NA	NA	580	0.407876231	335	0.235583685	76	0.067857143	25	25	0	0	24	https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fbit.25955&file=bit25955-sup-0003-SuppData-S3.doc	https://doi.org/10.1002/bit.25955	NA	None	NO
Z. parabailii	ZyPa1	NA	NA	NO	NA	2413	3096	2091	NA	NO	NO	NA	NA	NA	NA	12/8/19	#VALUE!	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ebi.ac.uk/biomodels/MODEL1807110001	https://www.biorxiv.org/content/early/2018/07/20/373621.full.pdf	NA	None	NO
K. marxianus	kmxGEM	failed	SBML/XLS/txt	YES	NA	996	1913	1531	11/6/19	YES	YES	YES	YES	YES	YES	12/8/19	0.087671233	0	0	Not passed	3.1	NA	kegg/chebi/InChI	kegg/ec_code	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://github.com/SysBioChalmers/Kluyveromyces_marxianus-GEM	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-3134-5	NA	None	NO
