Organism	Model_ID	Genes	Rxns	Mets	Primary_Format	source_SBML	external_DB	Available_file	available_SBML	version_control	Import/Export	Objective	biomassRxn	growth	Ready to use	Publication_date	Comparison_date	Elapsed_time	citations_google	Annual_average	MEMOTE_test	SBML_version	unbounded_flux	met_annotation	rxn_annotation	genes_annotation	rxns_without_GPR	rxns_without_GPR_percent	blocked_rxns	blocked_rxns_percent	dead_end_mets	dead_end_mets_percent	annotation_met_score	annotation_rxn_score	annotation_gene_score	annotation_SBO_score	MEMOTE_score	link_model	link_publication	external_DB_link
S. cerevisiae	iAZ900	901	1597	1234	SBML	YES	others	YES	YES	NO	YES	NO	YES	YES	YES	12/29/10	11/07/20	9.865753425	100	10.13607331	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3023687/bin/1752-0509-4-178-S3.XML	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3023687/	https://github.com/bheavner/yeast_models/blob/master/iAZ900/iAZ900.xml
S. cerevisiae	yeast 5	918	2110	1655	SBML	YES	yeastnet	YES	YES	NO	YES	YES	YES	YES	YES	06/04/12	11/07/20	8.432876712	143	16.9574399	Accomplished	2.4	NA	NO	NO	NO	1275	0.604265403	NA	NA	120	0.072507553	25	50	0	32	32	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-6-55/MediaObjects/12918_2012_970_MOESM4_ESM.xml	https://doi.org/10.1186/1752-0509-6-55	https://sourceforge.net/projects/yeast/files/yeast_5.01.zip/download
S. cerevisiae	iTO977	977	1566	1353	SBML	YES	biomet	YES	YES	NO	YES	YES	YES	NO	NO	4/30/13	11/07/20	7.528767123	103	13.68085881	Not accomplished	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-7-36/MediaObjects/12918_2012_1082_MOESM2_ESM.xml	https://link.springer.com/article/10.1186/1752-0509-7-36	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iFF708.xml
S. cerevisiae	yeast 6	900	1888	1458	SBML	YES	yeastnet	YES	YES	NO	YES	YES	YES	YES	YES	07/12/13	11/07/20	7.328767123	90	12.28037383	Accomplished	2.4	NA	kegg/chebi	kegg	NO	1076	0.569915254	NA	NA	105	0.072016461	57	53	0	43	40	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/database/2013/10.1093_database_bat059/3/bat059_Supplementary_Data.zip?Expires=1553709322&Signature=YelePfx0c-IIb416g1Mvl7IqZRtDiz~QdUDFrhVU7Hfcl5n0s95IszSP4H5kKFcmWL2GvgxNFCHmNnFI3dLeWmC6WAJ5GNywBZderi8wQ2eBmYUsgNzHN6N9MWHxgt0ZtOBT~zNWK920po-6-4U9DnWoGifnYU6bKKGc1VBC4XgEl3ZlGKZtTP5jbMCALlh4swLnZMvYaInqiXEreoxwTTNXayQqzTadLZwp6B6~q0WgFj6NOdR9aKNf1zCNa9P84LFLKxQk4apQcHmLBJZ6SOKf9J2wL4SErYTEv8ZQFKawkpt31UetJAn006OvLatehf7Wiq4PCBjPEW5uSZTSNg__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3739857/pdf/bat059.pdf	https://sourceforge.net/projects/yeast/files/yeast_6.06.zip/download
S. cerevisiae	yeast 7	909	3493	2220	SBML	YES	yeastnet	YES	YES	NO	YES	YES	YES	YES	YES	08/12/13	11/07/20	7.243835616	129	17.80824508	Accomplished	2.4	NA	kegg/chebi	kegg	NO	1792	0.513026052	NA	NA	121	0.054504505	57	53	0	44	41	https://sourceforge.net/projects/yeast/files/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3963290/	https://sourceforge.net/projects/yeast/files/yeast_7.6.zip/download
S. cerevisiae	iSce926	926	3494	2223	SBML	YES	None	YES	YES	NO	YES	YES	YES	YES	YES	7/28/15	11/07/20	5.284931507	26	4.919647486	Accomplished	2.1	0.404	NO	NO	NO	1622	0.464224385	724	0.207212364	123	0.055330634	25	25	0	0	22	https://www.mdpi.com/2218-1989/5/4/536/s1	https://doi.org/10.3390/metabo5040536	NA
S. cerevisiae	iSc-AMRS-1	NA	NA	NA	XLS	NO	None	YES	NO	NO	NA	NA	NA	NA	NO	9/29/16	11/07/20	4.109589041	202	49.15333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://media.nature.com/original/nature-assets/nature/journal/v537/n7622/extref/nature19769-s4.xlsx	https://doi.org/10.1038/nature19769	https://www.ebi.ac.uk/biomodels/MODEL1507180026
S. cerevisiae	yeast 7.Fe	963	3597	2318	SBML	YES	None	YES	YES	NO	YES	YES	YES	YES	YES	12/22/18	11/07/20	1.879452055	7	3.724489796	Accomplished	2.4	NA	kegg/chebi	kegg	NO	1879	0.522379761	NA	NA	138	0.059534081	57	53	0	44	42	https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fbit.26905&file=bit26905-sup-0001-%2318-520_S1.xml	https://www.ncbi.nlm.nih.gov/pubmed/30578666	NA
S. cerevisiae	yeast 8	1139	3963	2691	SBML/XLS/MAT/txt	YES	None	YES	YES	YES	YES	YES	YES	YES	YES	08/08/19	11/07/20	1.252054795	18	14.37636761	Accomplished	3.1	0.455	kegg/chebi/metanetx	kegg/metanetx/ec_code	NO	1204	0.303810245	956	0.24123139	145	0.053883315	62	62	0	61	54	https://github.com/SysBioChalmers/yeast-GEM	https://doi.org/10.1038/s41467-019-11581-3	None
P. pastoris	iPP668	668	1178	1361	XLS	NO	openCOBRA	YES	YES	NO	YES	YES	YES	YES	YES	07/01/10	11/07/20	10.36164384	129	12.44976203	Accomplished	3.1	0.143	NO	NO	NO	1212	1.028862479	343	0.291171477	125	0.091844232	25	25	0	0	36	https://static-content.springer.com/esm/art%3A10.1186%2F1475-2859-9-50/MediaObjects/12934_2010_440_MOESM1_ESM.XLS	https://doi.org/10.1186/1475-2859-9-50	http://biomet-toolbox.chalmers.se/models/SBML/iIN800_sbml.xml
P. pastoris	Ppambel1254	540	1254	1147	SBML	YES	openCOBRA	YES	YES	NO	YES	NO	NO	NO	NO	7/14/10	11/07/20	10.3260274	112	10.84637835	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	biot_201000078_sm_suppinfo_PpaMBEL1254.zip	https://doi.org/10.1002/biot.201000078	https://github.com/opencobra/m_model_collection/blob/master/sbml3/PpaMBEL1254.xml
P. pastoris	iLC915	915	1423	899	SBML	YES	openCOBRA	YES	YES	NO	YES	YES	YES	YES	YES	04/04/12	11/07/20	8.6	114	13.25581395	Accomplished	3.1	0.249	NO	NO	NO	348	0.24455376	414	0.290934645	108	0.120133482	25	25	0	0	25	http://biomet-toolbox.chalmers.se/models/SBML/iLC915.xml	https://doi.org/10.1186/1752-0509-6-24	https://github.com/opencobra/m_model_collection/blob/master/sbml3/iLC915.xml
P. pastoris	ihGlycopastoris	916	1595	1443	SBML	YES	None	YES	YES	NO	YES	YES	YES	YES	YES	10/19/15	11/07/20	5.057534247	32	6.327193933	Accomplished	2.1	0.128	NO	NO	NO	1518	0.951724138	413	0.258934169	104	0.072072072	25	25	0	0	19	https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fbit.25863&file=bit25863-sup-0005-SuppData-S5.zip	https://doi.org/10.1002/bit.25863	NA
P. pastoris	iMT1026	1026	2220	1706	XLS/SBML	YES	biomodels	YES	YES	NO	YES	YES	YES	YES	YES	1/26/16	11/07/20	4.78630137	38	7.939324556	Accomplished	NA	NA	NO	NO	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://doi.org/10.1371/journal.pone.0148031.s002		
P. pastoris	Kp1.0	840	1474	1221	SBML	YES	None	YES	YES	NO	YES	YES	NO	YES	YES	8/15/17	11/07/20	3.232876712	7	2.165254237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no	https://onlinelibrary.wiley.com/doi/full/10.1002/bit.26380	NA
P. pastoris	iRY1243	1243	2407	1740	XLS	NO	None	YES	NO	NO	NA	NA	NA	NA	NO	05/09/17	11/07/20	3.416666667	12	3.512195122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://ndownloader.figstatic.com/files/8401673	https://bioresourcesbioprocessing.springeropen.com/articles/10.1186/s40643-017-0152-x	NA
P. pastoris	iMT1026 v3.0	1026	2237	1706	SBML	YES	biomodels	YES	YES	NO	YES	NO	YES	NO	NO	11/21/17	11/07/20	2.964383562	16	5.3974122	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5743807/bin/MBT2-11-224-s003.zip	https://doi.org/10.1111/1751-7915.12871	biomodels
Y. lipolytica	iNL895	899	2002	1587	SBML	YES	biomodels	YES	YES	NO	YES	YES	YES	YES	YES	05/04/12	11/07/20	8.517808219	89	10.44869733	Accomplished	2.4	NA	NO	NO	NO	1986	0.992007992	NA	NA	56	0.035286704	25	50	0	34	30	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-6-35/MediaObjects/12918_2011_920_MOESM7_ESM.zip	https://doi.org/10.1186/1752-0509-6-35	https://www.ebi.ac.uk/biomodels/MODEL1111190000#Files
Y. lipolytica	iMK735	735	1337	1112	SBML	YES	biomodels	YES	YES	NO	YES	NO	YES	NO	NO	10/26/12	11/07/20	8.038356164	77	9.579072938	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2Fs12918-015-0217-4/MediaObjects/12918_2015_217_MOESM3_ESM.xml	https://doi.org/10.1186/s12918-015-0217-4	https://www.ebi.ac.uk/biomodels/model/download/MODEL1510060001.2?filename=MODEL1510060001_url.xml
Y. lipolytica	iYL619_PCP	619	1142	969	SBML	YES	None	YES	YES	NO	YES	YES	YES	NO	NO	12/07/12	11/07/20	7.923287671	67	8.456085754	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://doi.org/10.1371/journal.pone.0051535.s005	https://doi.org/10.1371/journal.pone.0051535	NA
Y. lipolytica	iYali4	847	1924	1671	SBML/XLS/MAT/txt	YES	biomodels	YES	YES	YES	YES	YES	YES	YES	YES	03/03/16	11/07/20	4.684931507	87	18.57017544	Accomplished	3.1	0.235	inchi/chebi	kegg/ec_code	NO	494	0.256756757	703	0.365384615	139	0.083183722	55	58	33	36	59	https://github.com/SysBioChalmers/Yarrowia_lipolytica_W29-GEM	https://doi.org/10.1038/npjsba.2016.5	https://www.ebi.ac.uk/biomodels/MODEL1508190002#Files
Y. lipolytica	iYLI647	646	1343	1117	SBML	YES	None	YES	YES	NO	YES	YES	YES	YES	YES	3/19/18	11/07/20	2.64109589	21	7.951244813	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2Fs12918-018-0542-5/MediaObjects/12918_2018_542_MOESM2_ESM.xml	https://doi.org/10.1186/s12918-018-0542-5	NA
S. stipitis	iBB814	814	1371	971	XLS	NO	None	YES	NO	NO	NA	NA	NA	NA	NO	2/23/12	11/07/20	8.712328767	57	6.54245283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1475-2859-11-27/MediaObjects/12934_2011_648_MOESM2_ESM.XLS	https://doi.org/10.1186/1475-2859-11-27	
S. stipitis	iSS884	884	1332	922	SBML	YES	openCOBRA	YES	YES	NO	YES	NO	YES	YES	YES	04/04/12	11/07/20	8.6	114	13.25581395	Accomplished	2.1	0.609	NO	NO	NO	1332	1	480	0.36036036	105	0.113882863	25	26	0	9	21	http://biomet-toolbox.chalmers.se/models/SBML/iSS884%20v1.0.xml	https://doi.org/10.1186/1752-0509-6-24	https://raw.githubusercontent.com/opencobra/m_model_collection/master/sbml/iSS884.xml
S. stipitis	iTL885	886	1240	870	XLS	NO	biomodels	YES	YES	NO	YES	YES	NO	YES	YES	9/21/12	11/07/20	8.134246575	33	4.056921522	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1754-6834-5-72/MediaObjects/13068_2012_208_MOESM2_ESM.xlsx	https://doi.org/10.1186/1754-6834-5-72	NA
S. stipitis	iDH814	814	1380	972	NA	NO	None	NO	NO	NO	NA	NA	NA	NA	NO	05/09/18	11/07/20	2.501369863	4	1.599123768	NA																		https://link.springer.com/article/10.1186/s12934-018-0983-y	NA
C. glabrata	iNX804	804	1287	1426	XLS	NO	None	YES	NO	NO	NA	NA	NA	NA	NO	11/08/12	11/07/20	8.002739726	40	4.998288257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.rsc.org/suppdata/mb/c2/c2mb25311a/c2mb25311a.xls	https://doi.org/10.1039/C2MB25311A	NA
C. tropicalis	iCT646	646	1422	1120	SBML	YES	None	YES	YES	NO	YES	YES	YES	YES	YES	2/23/16	11/07/20	4.709589041	32	6.794648051	Accomplished	2.1	0.143	NO	NO	NO	580	0.407876231	335	0.235583685	76	0.067857143	25	25	0	0	24	https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fbit.25955&file=bit25955-sup-0003-SuppData-S3.doc	https://doi.org/10.1002/bit.25955	NA
K. lactis	iOD907	893	2180	2338	SBML	YES	None	YES	YES	NO	YES	YES	YES	YES	YES	4/28/14	11/07/20	6.534246575	28	4.285115304	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.merlin_sysbio.org/files/iOD907.xml	https://doi.org/10.1002/biot.201300242	NA
K. marxianus	kmxGEM	996	1913	1531	SBML/XLS/txt	YES	None	YES	YES	YES	YES	YES	YES	YES	YES	11/06/19	11/07/20	1.005479452	6	5.967302452	Not accomplished	3.1	NA	kegg/chebi/InChI	kegg/ec_code	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://github.com/SysBioChalmers/Kluyveromyces_marxianus-GEM	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-3134-5	NA
R. toruloides	rhto-GEM	926	4930	3374	SBML/XLS/MAT/txt	YES	None	YES	YES	YES	YES	YES	YES	YES	YES	09/10/19	11/07/20	1.161643836	7	6.025943396	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://github.com/SysBioChalmers/rhto-GEM/tree/master/ModelFiles/mat	https://onlinelibrary.wiley.com/doi/abs/10.1002/bit.27162	None
R. toruloides	iRhto1108	1108	2204	1985	SBML/XLS/MAT/txt	YES	None	YES	YES	YES	YES	YES	YES	YES	YES	8/28/19	11/07/20	1.197260274	5	4.176201373	Accomplished	3.1	0	pubchem/kegg/seed/chebi/biocyc	kegg/ec_code/seed	NA	561	0.254537205	677	0.307168784	154	0.077581864	70	61	33	91	87	https://github.com/maranasgroup/iRhto_memote/tree/master/model_files	https://www.sciencedirect.com/science/article/pii/S2214030119300124	None
S. pombe	SpoMBEL1693	605	1693	1546	SBML	YES	openCOBRA	YES	YES	NO	NO	NO	NO	NO	NO	07/05/12	11/07/20	8.347945205	25	2.994748933	Not accomplished	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-6-49/MediaObjects/12918_2011_868_MOESM5_ESM.xml	https://doi.org/10.1186/1752-0509-6-49	NA
Z. parabailii	ZyPa1	2413	3096	2091	NA	NO	None	NO	NO	NO	NA	NA	NA	NA	NO	NA	11/07/20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ebi.ac.uk/biomodels/MODEL1807110001	https://www.biorxiv.org/content/early/2018/07/20/373621.full.pdf	NA
L. kluyveri	iPN730	730	1235	1179	SBML	YES	None	YES	YES	NO	YES	YES	YES	YES	YES	NA	11/07/20	NA	NA	NA	Accomplished	3.1	0.156	NA	NA	NA	62	0.050202429	562	0.455060729	152	0.128922816	25	22	0	0	29	https://assets.researchsquare.com/files/55b69d18-d72c-4222-8831-e0337266dce2/v1/Lk_iPN730.xml	https://www.researchsquare.com/article/rs-7289/v1	NA
